Date,region_name,RR,ALTI,PMERM,INST,GLOT,DHUMI40,NEIGETOTX,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,GELEE,FUMEE,BRUME,ECLAIR,TX,TNSOL,FXY,DRR,year,density,Workday?,day_of_week,y_true,y_pred_rf,error_rf,abs_error_rf,ape_rf
2015-05-06,Normandie,2.527586206896552,120.87640449438204,1012.29,475.0,2111.8571428571427,0.0,0.0,0.1,0.2727272727272727,0.25,0.5,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,15.635384615384616,7.457142857142857,12.112903225806452,42.71428571428572,2015,110.86623156118468,1,2,43.776958735671045,41.4698994597419,2.3070592759291415,2.3070592759291415,0.05270030952429464
2019-08-31,Provence-Alpes-Côte d'Azur,4.040837696335078,625.3908629441624,1015.6,497.0,1853.875,159.40243902439025,0.0,0.1875,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,29.85894039735099,16.7,6.243678160919541,20.0,2019,160.41558597107567,1,5,39.80200354214569,39.16744797517506,0.6345555669706329,0.6345555669706329,0.015942804641461937
2015-04-08,Nouvelle-Aquitaine,0.0054838709677419,246.68488745980707,1026.9304347826087,741.78125,2361.589743589744,585.4130434782609,2.2253521126760565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.60046296296296,0.1432432432432432,5.4363636363636365,0.0,2015,69.4625700715855,1,2,40.53112231416758,39.30435562701731,1.226766687150274,1.226766687150274,0.030267276522436368
2017-11-08,Nouvelle-Aquitaine,6.468275862068966,251.1986301369863,1022.6391304347826,126.84375,455.8648648648648,0.0,0.7927927927927928,0.2307692307692307,0.1111111111111111,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,0.1666666666666666,8.846700507614212,1.165,6.841975308641976,599.2,2017,69.99716851711521,1,2,48.49841647895963,51.873113984724064,-3.3746975057644306,3.3746975057644306,0.06958366375802516
2017-05-11,Provence-Alpes-Côte d'Azur,5.060773480662983,735.3105263157895,1003.41875,99.33333333333331,1141.142857142857,5.012195121951219,10.905405405405403,0.3333333333333333,0.4117647058823529,0.0,0.125,0.1428571428571428,0.0,0.0,0.0,0.25,0.0,16.186111111111114,9.584,10.411363636363635,111.7,2017,158.83037304435098,1,3,40.56101405516718,40.22410402377793,0.3369100313892446,0.3369100313892446,0.008306252670309216
2016-01-09,Provence-Alpes-Côte d'Azur,4.009278350515464,780.5792079207921,1005.135294117647,1.0,122.875,0.0,13.617283950617283,0.8636363636363636,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.75,0.0,8.857692307692307,4.774074074074075,4.909411764705882,133.63636363636363,2016,158.54743348430824,1,5,51.497353207771994,48.24237948083124,3.2549737269407544,3.2549737269407544,0.06320662176900864
2021-08-13,Île-de-France,0.0170212765957446,104.6122448979592,1022.7777777777778,738.8333333333334,2377.0,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.86818181818182,12.428571428571429,4.090909090909091,0.0,2021,1020.9363347778304,1,4,21.811716694896656,24.029881078326326,-2.21816438342967,2.21816438342967,0.10169600189845211
2021-05-24,Bretagne,4.842666666666666,91.43037974683544,1011.1285714285714,438.3,2052.214285714286,0.0,0.0,0.0,0.3,0.6666666666666666,0.4,0.3333333333333333,0.0,0.0,0.0,0.4,0.0,13.54225352112676,5.647619047619047,12.697826086956525,86.5,2021,123.9652638181556,0,0,30.823371581706887,37.40935607092489,-6.585984489218006,6.585984489218006,0.21366852972664366
2020-05-10,Normandie,3.808791208791209,123.62765957446808,1006.55,17.25,842.2,0.0,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.8,0.0,18.82162162162162,10.946666666666664,12.811764705882352,100.66666666666669,2020,110.41438389623347,1,6,31.380336680978203,33.10636864298972,-1.7260319620115183,1.7260319620115183,0.05500361513035485
2021-12-30,Auvergne-Rhône-Alpes,0.1518518518518518,914.9452736318408,1024.7133333333334,167.90625,416.8611111111111,79.77586206896552,34.15609756097561,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,12.597814207650272,5.6325,5.258888888888889,26.46153846153846,2021,114.61683214618952,1,3,44.730201182816494,49.63782630212184,-4.907625119305344,4.907625119305344,0.10971614230283164
2021-11-03,Bourgogne-Franche-Comté,4.491124260355029,402.0887573964497,1002.18,44.84615384615385,336.2857142857143,0.0,0.087719298245614,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,8.735714285714286,3.675,7.585365853658536,230.6,2021,58.35973487629637,1,2,45.40756818991827,46.023193756014656,-0.6156255660963836,0.6156255660963836,0.013557774408572967
