Date,region_name,RR,ALTI,PMERM,INST,GLOT,DHUMI40,NEIGETOTX,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,TX,TNSOL,FXY,DRR,superf,population,density,Région,Consumption,Workday?
2014-01-01,Auvergne-Rhône-Alpes,3.9204968944099376,833.616,1013.8733333333333,199.73333333333332,454.5,4.0234375,14.156626506024097,0.5757575757575758,0.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,8.093351063829788,1.223529411764706,8.134177215189874,172.6153846153846,70795.5441453,7820966.0,110.4725741488523,Auvergne-Rhône-Alpes,367972.0,0
2014-01-01,Bourgogne-Franche-Comté,8.208653846153847,403.6190476190476,1011.8299999999999,227.11111111111111,455.44444444444446,0.0,1.2624113475177305,0.07692307692307693,0.18181818181818182,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,10.548101265822785,0.5349999999999999,8.045238095238094,354.625,47981.60933965,2820623.0,58.785502170915194,Bourgogne-Franche-Comté,113392.0,0
2014-01-01,Bretagne,28.445714285714285,93.09722222222223,994.46875,4.473684210526316,68.36363636363636,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.4,11.944262295081968,4.8999999999999995,15.534090909090908,675.0,27383.21119519,3276543.0,119.6551776431371,Bretagne,133074.0,0
2014-01-01,Centre-Val de Loire,7.930769230769231,158.97692307692307,1006.72,40.44444444444444,247.08333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12736842105263,4.213157894736842,10.14074074074074,512.2222222222222,39471.49030292,2577435.0,65.29864923314861,Centre-Val de Loire,111026.0,0
2014-01-01,Corse,1.1507462686567163,456.5285714285714,1019.5444444444444,330.2,574.0,83.63636363636364,4.648148148148148,0.0,0.09090909090909091,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,11.397777777777778,-0.15999999999999998,4.742857142857143,17.666666666666668,8756.58546584,324212.0,37.02493412127041,,,0
2014-01-01,Grand Est,6.4944444444444445,324.8563535911602,1010.4866666666666,160.96,348.0,0.0,0.0,0.08333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,9.333333333333334,1.7974358974358973,8.183636363636364,359.8181818181818,,,,Grand Est,232159.0,0
2014-01-01,Hauts-de-France,5.107142857142857,91.90697674418605,1001.5500000000001,6.0,130.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24390243902439,3.427777777777778,11.66060606060606,477.8888888888889,32008.17629146,6006156.0,187.64443013901055,Hauts-de-France,278465.0,0
2014-01-01,Normandie,11.328,127.90196078431373,998.54,0.7333333333333333,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.748936170212765,3.5357142857142856,13.248148148148148,540.0,30118.55776984,3335645.0,110.75048896731153,Normandie,158635.0,0
2014-01-01,Nouvelle-Aquitaine,9.680722891566266,275.95582329317267,1009.295652173913,59.18181818181818,285.975,1.8210526315789475,0.8823529411764706,0.0,0.08333333333333333,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,11.28,4.954054054054055,9.19240506329114,497.55555555555554,85103.12811501,5879144.0,69.0825840391532,Nouvelle-Aquitaine,254313.0,0
2014-01-01,Occitanie,1.8586301369863014,609.1297297297298,1014.2857142857143,151.34615384615384,425.3103448275862,4.946428571428571,9.013574660633484,0.09090909090909091,0.4722222222222222,0.0,0.0,0.0,0.1,0.0,0.1,0.07692307692307693,0.0,0.05,0.0,9.714341085271318,1.4452380952380952,6.8424528301886784,130.28571428571428,73413.15428862,5730753.0,78.06166422804614,Occitanie,231318.0,0
2014-01-01,Pays de la Loire,14.985714285714284,75.40816326530613,1002.5444444444444,0.75,107.29411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.660416666666668,3.52,13.437931034482759,759.75,32363.43426474,3690659.0,114.03792841666922,Pays de la Loire,156737.0,0
2014-01-01,Provence-Alpes-Côte d'Azur,6.420000000000001,818.1625615763547,1017.7388888888888,226.3684210526316,515.125,14.182926829268293,19.65979381443299,0.5428571428571428,0.38095238095238093,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.125,0.0,8.010493827160493,0.8740740740740741,5.830588235294118,286.3636363636364,31674.60922978,4983438.0,157.33226458606615,Provence-Alpes-Côte d'Azur,270748.0,0
2014-01-01,Île-de-France,3.0904761904761906,107.6590909090909,1004.7666666666667,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.661904761904761,4.05,10.325000000000001,379.4,12064.68863965,12027565.0,996.9229508726819,Île-de-France,424366.0,0
2014-01-02,Auvergne-Rhône-Alpes,6.519753086419753,834.0675944333996,1010.8,79.46666666666667,298.94,10.162790697674419,14.55688622754491,0.65,0.2619047619047619,0.0,0.0,0.0,0.04,0.08333333333333333,0.125,0.0,0.0,0.07692307692307693,0.0,7.682010582010583,3.294285714285714,8.708641975308641,202.15384615384616,70795.5441453,7820966.0,110.4725741488523,Auvergne-Rhône-Alpes,398280.0,1
2014-01-02,Bourgogne-Franche-Comté,4.0703349282296655,402.2654028436019,1008.46,115.94444444444444,325.44444444444446,0.0,1.0070921985815602,0.04,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2,0.0,10.454716981132075,4.42,9.357142857142858,140.0,47981.60933965,2820623.0,58.785502170915194,Bourgogne-Franche-Comté,124177.0,1
2014-01-02,Bretagne,5.1454545454545455,89.86764705882354,998.55625,187.05263157894737,390.95454545454544,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,12.195,4.586363636363637,13.011111111111111,278.22222222222223,27383.21119519,3276543.0,119.6551776431371,Bretagne,144490.0,1
2014-01-02,Centre-Val de Loire,1.8984732824427482,158.65648854961833,1004.8700000000001,262.8888888888889,429.0833333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.029166666666667,6.178947368421053,10.207407407407409,65.66666666666667,39471.49030292,2577435.0,65.29864923314861,Centre-Val de Loire,118557.0,1
2014-01-02,Corse,6.928358208955224,470.2957746478873,1015.688888888889,50.6,367.6666666666667,0.0,4.685185185185185,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.702173913043477,5.040000000000001,6.819047619047619,137.33333333333334,8756.58546584,324212.0,37.02493412127041,,,1
2014-01-02,Grand Est,3.686111111111111,324.8563535911602,1006.3333333333334,92.56,251.87878787878788,0.0,0.16901408450704225,0.0,0.21428571428571427,0.18181818181818182,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,9.675555555555556,4.661538461538462,10.00909090909091,149.5,,,,Grand Est,259580.0,1
2014-01-02,Hauts-de-France,1.6674418604651164,90.36363636363636,999.1999999999999,229.44444444444446,362.44444444444446,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.402439024390244,5.705555555555556,10.684848484848485,118.88888888888889,32008.17629146,6006156.0,187.64443013901055,Hauts-de-France,301043.0,1
2014-01-02,Normandie,0.983673469387755,127.52,999.05,257.46666666666664,407.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.959574468085107,5.292857142857143,11.27037037037037,123.14285714285714,30118.55776984,3335645.0,110.75048896731153,Normandie,166762.0,1
2014-01-02,Nouvelle-Aquitaine,3.888709677419355,277.46774193548384,1008.1130434782608,112.78787878787878,405.575,0.15789473684210525,0.6610169491525424,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,12.6075,7.343243243243243,8.4,191.21052631578948,85103.12811501,5879144.0,69.0825840391532,Nouvelle-Aquitaine,263197.0,1
2014-01-02,Occitanie,1.4930939226519337,609.4661246612466,1011.4809523809523,171.69230769230768,492.8965517241379,1.3482142857142858,9.438053097345133,0.047619047619047616,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,12.07237354085603,4.459523809523809,6.290566037735848,142.30769230769232,73413.15428862,5730753.0,78.06166422804614,Occitanie,233288.0,1
2014-01-02,Pays de la Loire,1.1520000000000001,75.44,1003.0777777777779,222.625,437.52941176470586,0.0,0.0,0.0,0.0,0.125,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.583673469387756,5.613333333333333,11.37241379310345,191.25,32363.43426474,3690659.0,114.03792841666922,Pays de la Loire,168384.0,1
2014-01-02,Provence-Alpes-Côte d'Azur,5.806701030927835,809.3990147783251,1013.6999999999999,48.89473684210526,242.625,0.0,21.760416666666668,0.5151515151515151,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,7.5112499999999995,5.811111111111111,6.151764705882353,199.1818181818182,31674.60922978,4983438.0,157.33226458606615,Provence-Alpes-Côte d'Azur,274660.0,1
2014-01-02,Île-de-France,0.7,107.6590909090909,1002.3222222222222,249.28571428571428,409.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,11.352380952380953,6.33,9.725,49.4,12064.68863965,12027565.0,996.9229508726819,Île-de-France,455574.0,1
